word,reading,meaning
本番,ほんばん,the real thing; actual performance
迫る,せまる,approach; draw near
必死な,ひっしな,desperate; frantic
いっせいな,,simultaneous; all at once
終了する,しゅうりょうする,finish; end
回収する,かいしゅうする,collect; retrieve
採点する,さいてんする,grade; score
確実な,かくじつな,certain; reliable
人生観,じんせいかん,view of life
価値観,かちかん,values; sense of values
先入観,せんにゅうかん,preconception; prejudice
世界観,せかいかん,worldview
結婚観,けっこんかん,view of marriage
職業観,しょくぎょうかん,view of work; occupational outlook
受講する,じゅこうする,take a course; attend lectures
書き留める,かきとめる,write down; note
目標,もくひょう,goal; target
心構え,こころがまえ,mindset; preparedness
学問,がくもん,scholarship; academic study
分野,ぶんや,field; area
取り込む,とりこむ,take in; incorporate
意欲,いよく,motivation; eagerness
思いつく,おもいつく,think of; hit upon
発明する,はつめいする,invent
分析する,ぶんせきする,analyze
継続する,けいぞくする,continue
ほんの,,mere; only
受け入れる,うけいれる,accept; receive
キャンパス,,campus
休講する,きゅうこうする,cancel a class
講師,こうし,lecturer; instructor
学会,がっかい,academic society; conference
わずかな,,slight; small amount
論理的な,ろんりてきな,logical
論じる,ろんじる,discuss; argue
引用する,いんようする,quote; cite
訳す,やくす,translate
編集する,へんしゅうする,edit
要旨,ようし,gist; summary
明確な,めいかくな,clear; definite
挙げる,あげる,cite; list
用いる,もちいる,use; employ
手書き,てがき,handwriting; handwritten
一気に,いっきに,at once; in one go
完成する,かんせいする,complete; finish
起動する,きどうする,start up; boot
本体,ほんたい,main unit; body
キーボード,,keyboard
ディスプレイ,,display
接続する,せつぞくする,connect
検索する,けんさくする,search
転送する,てんそうする,transfer; forward
文書,ぶんしょ,document
文章,ぶんしょう,sentence; writing
設定する,せっていする,set up; configure
余白,よはく,margin
フォント,,font
カーソル,,cursor
改行する,かいぎょうする,start a new line; insert a line break
区切る,くぎる,divide; separate
貼り付ける,はりつける,paste; attach
強調する,きょうちょうする,emphasize
拡大する,かくだいする,enlarge; magnify
消去する,しょうきょする,erase; delete
上書き保存する,うわがきほぞんする,save by overwriting
順序,じゅんじょ,order; sequence
印刷する,いんさつする,print
プリンター,,printer
インク,,ink
好奇心,こうきしん,curiosity
親切心,しんせつしん,kindness
恐怖心,きょうふしん,fear
対抗心,たいこうしん,competitive spirit
反抗心,はんこうしん,rebellious spirit
探究心,たんきゅうしん,spirit of inquiry; curiosity
求人,きゅうじん,job offer; recruitment
志望する,しぼうする,apply for; aspire to
エントリーする,,apply; enter
携わる,たずさわる,be involved in; engage in
生かす,いかす,make use of; let live
活かす,いかす,make use of; utilize
貴社,きしゃ,your company
御中,おんちゅう,attention; for the addressee company
動機,どうき,motive; motivation
熱意,ねつい,enthusiasm; eagerness
学歴,がくれき,educational background
不問,ふもん,no requirement; regardless
制限する,せいげんする,restrict; limit
特技,とくぎ,special skill
強調する,きょうちょうする,emphasize
肝心な,かんじんな,essential; crucial
精一杯,せいいっぱい,with all one's might; to the best of one's ability
アピールする,,appeal; promote oneself
対応する,たいおうする,deal with; respond to
合同する,ごうどうする,join together; combine
望ましい,のぞましい,desirable
好ましい,このましい,preferable; favorable
公平な,こうへいな,fair; impartial
せめて,,at least
受け取る,うけとる,receive
内定する,ないていする,receive an informal job offer; be unofficially decided
辞退する,じたいする,decline; withdraw
契約する,けいやくする,make a contract; sign a contract
入社する,にゅうしゃする,join a company
心得る,こころえる,know; bear in mind
社会人,しゃかいじん,working adult; member of society
自覚する,じかくする,be aware of; recognize
いよいよ,,finally; at last
大企業,だいきぎょう,large company; major corporation
大手,おおて,major company; leading company
代表する,だいひょうする,represent
民間,みんかん,private sector; civilian
組織,そしき,organization
従業員,じゅうぎょういん,employee
新入社員,しんにゅうしゃいん,new employee
派遣社員,はけんしゃいん,temporary staff; dispatched employee
オーナー,,owner
重役,じゅうやく,executive; company officer
オフィス,,office
支給する,しきゅうする,pay; provide
出世する,しゅっせする,succeed in life; get promoted
昇進する,しょうしんする,get promoted
転勤する,てんきんする,be transferred
赴任する,ふにんする,assume a new post
有給休暇,ゆうきゅうきゅうか,paid leave
人事,じんじ,personnel affairs; HR
人材,じんざい,human resources; talented person
人手,ひとで,manpower; helping hand
モニター,,monitor
業績,ぎょうせき,business performance; achievements
資本,しほん,capital
方針,ほうしん,policy; course of action
我々,われわれ,we
製品,せいひん,product
売れ行き,うれゆき,sales; demand
売り上げ,うりあげ,sales; proceeds
コスト,,cost
果たす,はたす,fulfill; accomplish
得る,える,obtain; gain
認める,みとめる,recognize; admit
ビジネス,,business
就く,つく,take a post; assume a position
生きがい,いきがい,purpose in life; something worth living for
やりがい,,sense of worth; rewarding feeling
抱く,いだく,harbor; hold
打ち合わせする,うちあわせする,have a meeting; make arrangements
アポイント,,appointment
対応する,たいおうする,deal with; respond to
伝言する,でんごんする,leave a message; pass on a message
改めて,あらためて,once again; anew
じかに,,directly; in person
プロジェクト,,project
意図する,いとする,intend; aim
新たな,あらたな,new
組む,くむ,team up; form; put together
取引する,とりひきする,do business; trade
依頼する,いらいする,request; ask for
任せる,まかせる,entrust; leave to
引き受ける,ひきうける,undertake; take on
こなす,,manage; handle successfully
成果,せいか,result; achievement
達成する,たっせいする,achieve; attain
作業する,さぎょうする,work; carry out a task
保留する,ほりゅうする,put on hold
やり直す,やりなおす,do over; redo
件,けん,matter; case
急用,きゅうよう,urgent business
至急,しきゅう,urgent; immediately
手順,てじゅん,procedure; steps
移動する,いどうする,move; transfer
大工,だいく,carpenter
ガードマン,,security guard
地位,ちい,status; position
目上,めうえ,one's superior; elder
敬意,けいい,respect; esteem
敬う,うやまう,respect; honor
的確な,てきかくな,accurate; appropriate
忠告する,ちゅうこくする,advise; warn
サポートする,,support
いぼる,,boast; act arrogant
押し付ける,おしつける,force on; impose
ご無沙汰する,ごぶさたする,not contact for a long time
恐縮する,きょうしゅくする,feel obliged; feel ashamed
信頼する,しんらいする,trust
従う,したがう,follow; obey
うなずく,,nod
反論する,はんろんする,counterargue; object
わびる,,apologize
やる気,,motivation; willingness
お世辞,おせじ,flattery; compliment
ごまをする,,flatter; butter up
上等な,じょうとうな,fine; superior
苦痛,くつう,pain; distress
夫人,ふじん,wife; lady
ベテラン,,veteran
平社員,ひらしゃいん,rank-and-file employee
作家,さっか,writer; author
画家,がか,painter
芸術家,げいじゅつか,artist
作曲家,さっきょくか,composer
建築家,けんちくか,architect
漫画家,まんがか,manga artist
医者,いしゃ,doctor
記者,きしゃ,reporter
科学者,かがくしゃ,scientist
学者,がくしゃ,scholar
役者,やくしゃ,actor
学界,がっかい,academic world
政界,せいかい,political world
財界,ざいかい,business world
芸能界,げいのうかい,entertainment world
医学界,いがくかい,medical world
業界,ぎょうかい,industry
退職する,たいしょくする,retire; leave a job
転職する,てんしょくする,change jobs
首にする,くびにする,fire; dismiss
リストラする,,restructure; lay off
独立する,どくりつする,become independent
着々と,ちゃくちゃくと,steadily; step by step
フリーな,,free; freelance
不平,ふへい,complaint; dissatisfaction
満足な,まんぞくな,satisfactory; sufficient
辛抱する,しんぼうする,endure; be patient
ぐっと,,firmly; greatly; all at once
負う,おう,bear; shoulder
溶け込む,とけこむ,blend in; melt into
やむを得ず,,unavoidably; reluctantly
立ち上げる,たちあげる,launch; start up
試みる,こころみる,attempt; try
専念する,せんねんする,devote oneself to
悔やむ,くやむ,regret; mourn
見送る,みおくる,see off; postpone
逃す,のがす,miss; let escape
重なる,かさなる,overlap; coincide
引き止める,ひきとめる,detain; hold back
特殊な,とくしゅな,special; peculiar
身の回り,みのまわり,one's surroundings; personal belongings
状況,じょうきょう,situation; circumstances
医師,いし,doctor; physician
教師,きょうし,teacher
講師,こうし,lecturer; instructor
技師,ぎし,engineer; technician
美容師,びようし,hairdresser
看護師,かんごし,nurse
調理師,ちょうりし,cook; chef
弁護士,べんごし,lawyer
保育士,ほいくし,childcare worker; nursery teacher
介護士,かいごし,care worker; caregiver
学士,がくし,bachelor; bachelor's degree holder
修士,しゅうし,master; master's degree holder
博士,はくし,doctor; PhD
宇宙飛行士,うちゅうひこうし,astronaut
競技する,きょうぎする,to compete (in a sport/game)
競う,きそう,to compete; to rival
戦う,たたかう,to fight; to battle
勝負する,しょうぶする,to compete; to have a match
勝敗,しょうはい,victory or defeat; outcome
勝利する,しょうりする,to win; to be victorious
破る,やぶる,to defeat; to break; to tear
やっつける,,to beat; to defeat; to finish off
敗れる,やぶれる,to be defeated; to lose
攻める,せめる,to attack; to go on the offensive
逆転する,ぎゃくてんする,to reverse; to make a comeback
開会する,かいかいする,to open (a meeting/event)
中断する,ちゅうだんする,to suspend; to interrupt; to pause
延長する,えんちょうする,to extend; to prolong
勇ましい,いさましい,brave; courageous; valiant
勢い,いきおい,momentum; force; energy
さすがに,,as expected; even so; indeed
観客,かんきゃく,audience; spectators
敵,てき,enemy; opponent; rival
グラウンド,,ground; sports field
順位,じゅんい,ranking; standing; position
トレーナー,,trainer; coach
指導する,しどうする,to instruct; to guide; to coach
取り入れる,とりいれる,to adopt; to incorporate; to take in
ガードな,,guarded; defensive
通用する,つうようする,to be accepted; to work; to be valid
技,わざ,skill; technique; move
今に,いまに,soon; before long; even now
格好,かっこう,appearance; style; look
持ち物,もちもの,belongings; personal effects
身につける,みにつける,to wear; to acquire (a skill); to master
センス,,sense; taste; style
ダサい,,uncool; unfashionable; lame
いまひとつ,,not quite; one more; lacking something
スタイル,,style; figure; fashion
足元,あしもと,at one's feet; footing; step
足下,あしもと,at one's feet; footing (variant of 足元)
ウエスト,,waist
見た目,みため,appearance; looks
人目,ひとめ,public eye; other people's gaze
色彩,しきさい,color; coloring; hue
華やかな,はなやかな,gorgeous; showy; glamorous
鮮やかな,あざやかな,vivid; bright; brilliant
統一する,とういつする,to unify; to standardize; to coordinate
フリーサイズ,,free size; one size fits all
ぶかぶかな,,baggy; loose-fitting
生地,きじ,fabric; cloth; material
綿,めん / わた,cotton
オーダーメイド,,custom-made; made-to-order
サングラス,,sunglasses
ボタンが取れる,ボタンがとれる,a button comes off / falls off
浴衣,ゆかた,yukata; casual summer kimono
大地震,おおじしん,major earthquake
大急ぎ,おおいそぎ,in a great hurry; rushing
大仕事,おおしごと,big job; major task
大騒ぎ,おおさわぎ,great commotion; uproar; fuss
大まじめ,おおまじめ,dead serious; in all seriousness
大掃除,おおそうじ,big cleaning; thorough cleaning
大喜び,おおよろこび,great joy; delight
大震災,だいしんさい,great earthquake disaster
大事件,だいじけん,major incident; big case
大問題,だいもんだい,big problem; serious issue
大好評,だいこうひょう,very popular; highly acclaimed
大人気,だいにんき,extremely popular; very well-liked
大評判,おおひょうばん,great reputation; big buzz
大恋愛,だいれんあい,great romance; passionate love affair
イベント,,event
アイドル,,idol; pop star
ステージ,,stage
興奮する,こうふんする,to get excited; to be thrilled
続々と,ぞくぞくと,one after another; in succession
演劇,えんげき,theater; drama; play
劇場,げきじょう,theater; playhouse
役者,やくしゃ,actor; actress; performer
主役,しゅやく,leading role; main character; protagonist
セリフ,,line (in a script); dialogue
演技する,えんぎする,to act; to perform
オーケストラ,,orchestra
リズム,,rhythm
鑑賞する,かんしょうする,to appreciate; to enjoy (art/music)
芸術家,げいじゅつか,artist
監督する,かんとくする,to direct; to supervise
あらすじ,,plot summary; synopsis; outline
ありふれた〜,,common; ordinary; typical; run-of-the-mill
ばかばかしい,,absurd; ridiculous; silly
退屈な,たいくつな,boring; tedious; dull
人物,じんぶつ,person; character; figure
場面,ばめん,scene; setting; situation
展開する,てんかいする,to develop; to unfold; to expand
テンポ,,tempo; pace
評判,ひょうばん,reputation; fame; rumor
評価する,ひょうかする,to evaluate; to assess; to rate
感想,かんそう,impression; thoughts; feelings
賞,しょう,prize; award
書物,しょもつ,book; written work; literature
絵本,えほん,picture book
作品,さくひん,work (of art/literature); piece
著者,ちょしゃ,author; writer
書き手,かきて,writer; author
ペンネーム,,pen name; pseudonym
主人公,しゅじんこう,protagonist; main character; hero
ロマン,,romance; adventure; dream
伝記,でんき,biography
人生,じんせい,life; one's life
神話,しんわ,myth; mythology
中世,ちゅうせい,Middle Ages; medieval period
文明,ぶんめい,civilization; culture
忠実な,ちゅうじつな,faithful; loyal; devoted
奇妙な,きみょうな,strange; peculiar; odd
背景,はいけい,background; backdrop; setting
実際,じっさい,actually; in reality; in practice
文句,もんく,complaint; objection; grumble
果たして,はたして,as expected; sure enough; really
発想する,はっそうする,to come up with an idea; to conceive
由来する,ゆらいする,to originate from; to derive from
空想する,くうそうする,to fantasize; to imagine; to daydream
連想する,れんそうする,to associate; to be reminded of
解釈する,かいしゃくする,to interpret; to construe
発行する,はっこうする,to publish; to issue
生み出す,うみだす,to produce; to create; to give birth to
読書家,どくしょか,avid reader; bookworm
超満員,ちょうまんいん,packed to capacity; overcrowded
超能力,ちょうのうりょく,supernatural power; psychic ability
超特急,ちょうとっきゅう,super express (train); ultra-fast
超音速,ちょうおんそく,supersonic speed
超高層,ちょうこうそう,super high-rise; skyscraper-class
超自然,ちょうしぜん,supernatural
最高級,さいこうきゅう,highest grade; top class; premium
最上級,さいじょうきゅう,highest grade; superlative
最高潮,さいこうちょう,peak; climax; height
最年長,さいねんちょう,oldest; eldest
最年少,さいねんしょう,youngest
最優秀,さいゆうしゅう,best; most outstanding; top
最大級,さいだいきゅう,largest class; maximum scale
最小限,さいしょうげん,minimum; bare minimum
習い事,ならいごと,lessons; hobby class; extracurricular activity
こだわる,,to be particular about; to be fussy; to stick to
こだわり,,particular preference; attachment; obsession
凝る,こる,to be absorbed in; to be particular about; to be stiff
熱中する,ねっちゅうする,to be enthusiastic about; to be absorbed in
コレクションする,,to collect; to build a collection
多彩な,たさいな,varied; diverse; colorful; multifaceted
素人,しろうと,amateur; layperson; novice
初心者,しょしんしゃ,beginner; novice
本格的な,ほんかくてきな,full-scale; genuine; authentic; serious
名人,めいじん,master; expert; virtuoso
共通する,きょうつうする,to have in common; to be shared
ブーム,,boom; trend; craze
アウトドア,,outdoor (activities)
編み物,あみもの,knitting; crocheting; needlework
手品,てじな,magic trick; conjuring; sleight of hand
占い,うらない,fortune-telling; divination
手話,しゅわ,sign language
伝統,でんとう,tradition; convention
作法,さほう,manners; etiquette; proper way of doing things
撮影する,さつえいする,to photograph; to film; to shoot
レンズ,,lens
宝くじ,たからくじ,lottery; lottery ticket
当たる,あたる,to win (a lottery); to hit; to be correct
コツ,,trick; knack; tip
瞬間,しゅんかん,moment; instant
組み合わせる,くみあわせる,to combine; to match; to pair
身近な,みぢかな,familiar; close to one; nearby
<<<<<<< HEAD
気候,きこう,climate
シーズン,,season
四季,しき,four seasons
ふくらむ,,to swell; to expand; to bulge
梅雨,つゆ,rainy season
初夏,しょか,early summer
温帯,おんたい,temperate zone
属する,ぞくする,to belong to; to be classified under
確率,かくりつ,probability; chance
夕立,ゆうだち,evening shower; sudden afternoon rain
にわかな,,sudden; abrupt
覆う,おおう,to cover; to conceal; to wrap
びしょびしょな,,soaking wet; drenched
あいにくな,,unfortunately; as bad luck would have it
吹雪,ふぶき,blizzard; snowstorm
凍える,こごえる,to freeze; to be numb with cold
冷え込む,ひえこむ,to get cold; to turn chilly
陽気な,ようきな,cheerful; merry; lively
日和,ひより,weather; fair weather; conditions
日差し,ひざし,sunlight; sunshine; rays of the sun
いっそう,,even more; all the more; further
一段と,いちだんと,even more; noticeably more
急速な,きゅうそくな,rapid; swift; sudden
ぐんぐんと,,rapidly; steadily; at a great pace
いくぶん,,somewhat; to some extent; a little
めっきり,,noticeably; remarkably; considerably
あまりに,,too much; excessively; overly
差,さ,difference; gap; margin
本来,ほんらい,originally; by nature; essentially
接近する,せっきんする,to approach; to get close to
備える,そなえる,to prepare for; to equip; to provide
砂,すな,sand
あふれる,,to overflow; to flood; to be full of
降水量,こうすいりょう,precipitation; rainfall amount
観測する,かんそくする,to observe; to measure; to monitor
大気,たいき,atmosphere; air
荒れる,あれる,to be rough; to be stormy; to deteriorate
傾く,かたむく,to tilt; to lean; to incline
またぐ,,to step over; to straddle; to span
応答する,おうとうする,to respond; to answer; to reply
静まる,しずまる,to calm down; to quiet down; to subside
もたらす,,to bring about; to cause; to result in
及ぼす,およぼす,to exert; to have an effect on; to cause
及ぶ,およぶ,to reach; to extend to; to amount to
去る,さる,to leave; to go away; to pass
ひとまず,,for now; for the time being; first of all
直後,ちょくご,immediately after; right after
行動する,こうどうする,to act; to take action; to behave
万一,まんいち,in the unlikely event; just in case
傾向,けいこう,tendency; trend; inclination
達する,たっする,to reach; to attain; to achieve
災害,さいがい,disaster; calamity
書きやすい,かきやすい,easy to write
見やすい,みやすい,easy to see; easy to read
話しやすい,はなしやすい,easy to talk to; easy to speak with
食べやすい,たべやすい,easy to eat
飲みやすい,のみやすい,easy to drink
わかりやすい,,easy to understand; clear
相談しやすい,そうだんしやすい,easy to consult; approachable
汚れやすい,よごれやすい,easy to get dirty; prone to staining
切れやすい,きれやすい,easy to cut; prone to snapping; short-tempered
変わりやすい,かわりやすい,prone to change; changeable; variable
間違えやすい,まちがえやすい,easy to make mistakes with; confusing
大地,だいち,the earth; the ground; the land
広大な,こうだいな,vast; extensive; expansive
砂漠,さばく,desert
谷,たに,valley; gorge
滝,たき,waterfall
岸,きし,shore; bank; coast
海辺,うみべ,seaside; beach; coast
底,そこ,bottom; depths; base
生き物,いきもの,living thing; creature; organism
生物,せいぶつ,living thing; organism; creature
植物,しょくぶつ,plant; vegetation
芽,め,bud; sprout; shoot
人間,にんげん,human being; person; mankind
天然,てんねん,nature; natural
日光,にっこう,sunlight; sunshine
昇る,のぼる,to rise; to ascend (sun/moon)
日陰,ひかげ,shade; shadow
夕焼け,ゆうやけ,evening glow; sunset colors
飛び回る,とびまわる,to fly around; to flit about
鳴く,なく,to chirp; to sing; to cry (of animals/birds)
しんとする,,to be quiet; to be still; to be hushed
休息する,きゅうそくする,to rest; to take a break
ゆっくりする,,to relax; to take it easy; to take one's time
ごろごろする,,to laze around; to lounge; to roll about
だらだらとする,,to loaf around; to be sluggish; to drag on
のびのびする,,to feel free; to relax; to stretch out
くつろぐ,,to relax; to feel at ease; to unwind
こもる,,to stay indoors; to shut oneself in; to be filled with
ぐうぐう,,sound of snoring; deeply asleep
どっと,,all at once; in a rush; with a burst
切り替える,きりかえる,to switch; to change over; to shift
あれこれ,,this and that; one thing and another
芝生,しばふ,lawn; grass; turf
転がる,ころがる,to roll; to tumble; to lie around
うなる,,to groan; to moan; to growl
ボート,,boat
こぐ,,to row; to paddle
展覧会,てんらんかい,exhibition; art show
ばったり,,suddenly; by chance; unexpectedly
はらはらする,,to be nervous; to be on edge; to be anxious
お墓,おはか,grave; tomb
突っ込む,つっこむ,to thrust into; to plunge into; to dive into
見渡す,みわたす,to look out over; to survey; to scan
眺める,ながめる,to gaze at; to look out at; to view
眺め,ながめ,view; scenery; prospect
かすかな,,faint; slight; dim; barely perceptible
おぶう,,to carry on one's back
最適な,さいてきな,most suitable; optimal; ideal
余裕,よゆう,margin; room; composure; leeway
聞きづらい,ききづらい,hard to hear; difficult to listen to
見づらい,みづらい,hard to see; difficult to look at
歩きづらい,あるきづらい,hard to walk; difficult to walk in
使いづらい,つかいづらい,hard to use; awkward to use
入りづらい,はいりづらい,hard to enter; difficult to go into
飛び,とび,jump; leap; flight
レジャー,,leisure; recreation
訪れる,おとずれる,to visit; to come; to arrive
体験する,たいけんする,to experience; to go through
冒険する,ぼうけんする,to adventure; to take a risk
見聞きする,みききする,to see and hear; to experience firsthand
巡る,めぐる,to go around; to tour; to travel through
プラン,,plan; schedule; itinerary
思い立つ,おもいたつ,to decide suddenly; to make up one's mind
豪華な,ごうかな,luxurious; gorgeous; lavish
手配する,てはいする,to arrange; to make arrangements; to book
前もって,まえもって,in advance; beforehand; ahead of time
便,びん,flight; service; connection (transport)
空席,くうせき,vacant seat; empty seat; available seat
超過する,ちょうかする,to exceed; to go over; to surpass
飛ぶ,とぶ,to fly; to jump; to skip
思いがけず,おもいがけず,unexpectedly; by surprise; out of the blue
引き返す,ひきかえす,to turn back; to go back; to retrace
間もなく,まもなく,soon; before long; shortly
宿泊する,しゅくはくする,to stay overnight; to lodge; to check in
大幅な,おおはばな,large-scale; significant; drastic
旅先,たびさき,travel destination; place one is visiting
各地,かくち,various places; different regions
名所,めいしょ,famous place; tourist spot; landmark
市場,いちば / しじょう,market; marketplace
免税店,めんぜいてん,duty-free shop
風景,ふうけい,scenery; landscape; view
海水浴,かいすいよく,sea bathing; swimming in the ocean
もぐる,,to dive; to go underwater; to crawl into
跡,あと,trace; remains; ruins; mark
位置,いち,position; location; place
めいめい,,each person; individually; respectively
しばしば,,often; frequently; repeatedly
出来事,できごと,event; happening; incident
読みにくい,よみにくい,hard to read; difficult to read
使いにくい,つかいにくい,hard to use; inconvenient
扱いにくい,あつかいにくい,hard to handle; difficult to deal with
言いにくい,いいにくい,hard to say; difficult to express
わかりにくい,,hard to understand; unclear
はきにくい,,hard to wear (shoes/footwear); uncomfortable to put on
付き合いにくい,つきあいにくい,hard to get along with; difficult to associate with
壊れにくい,こわれにくい,hard to break; durable; sturdy
破れにくい,やぶれにくい,hard to tear; resistant to tearing
割れにくい,われにくい,hard to crack; shatter-resistant
焦げにくい,こげにくい,hard to burn; resistant to scorching
=======
>>>>>>> c4d991d4562cfac0d564185a7ef4c3753513657c
